id,name,terminalName,Y,longitude,installed,locked,installDate,temporary,available_bikes,empty_docks,total_docks
75,"Torrens Street, Angel",1060,51.53219984,-0.105480698,TRUE,FALSE,1.28E+12,0,3,16,19
78,"Sadlers Sports Centre, Finsbury",3433,51.52486887,-0.099489485,TRUE,FALSE,1.28E+12,0,16,1,17
79,"Wansey Street, Walworth",3455,51.49118143,-0.097146479,TRUE,FALSE,1.28E+12,0,1,16,17
80,"Webber Street , Southwark",3448,51.50069361,-0.102091246,TRUE,FALSE,1.28E+12,0,6,18,24
81,"Great Titchfield Street, Fitzrovia",3450,51.52025302,-0.141327271,TRUE,FALSE,1.28E+12,0,10,8,19
82,"Chancery Lane, Holborn",3453,51.514274,-0.111257,TRUE,FALSE,1.28E+12,0,13,1,15
83,"Panton Street, West End",3452,51.50963938,-0.131510949,TRUE,FALSE,1.28E+12,0,20,1,21
90,"Harrington Square, Camden Town",1038,51.53301907,-0.139174593,TRUE,FALSE,1.28E+12,0,0,27,27
84,"Breams Buildings, Holborn",3449,51.51593725,-0.111778348,TRUE,FALSE,1.28E+12,0,19,5,24
87,"Devonshire Square, Liverpool Street",3438,51.51646835,-0.079684557,TRUE,FALSE,1.28E+12,0,13,3,16
86,"Sancroft Street, Vauxhall",3434,51.48947903,-0.115156562,TRUE,FALSE,1.28E+12,0,13,11,24
89,"Tavistock Place, Bloomsbury",3439,51.5262503,-0.123509611,TRUE,FALSE,1.28E+12,0,1,17,19
93,"Cloudesley Road, Angel",2586,51.53440868,-0.109025404,TRUE,FALSE,1.28E+12,0,0,34,37
209,"Denyer Street, Knightsbridge",3454,51.49358391,-0.165101392,TRUE,FALSE,1.28E+12,0,25,4,30
97,"Gloucester Road (North), Kensington",3447,51.49792478,-0.183834706,TRUE,FALSE,1.28E+12,0,10,4,16
99,"Old Quebec Street, Marylebone",1085,51.51457763,-0.158264483,TRUE,FALSE,1.28E+12,0,3,13,16
102,"Jewry Street, Aldgate",1045,51.51340693,-0.076793375,TRUE,FALSE,1.28E+12,0,15,1,17
113,"Gloucester Road (Central), South Kensington",3435,51.49646288,-0.183289032,TRUE,FALSE,1.28E+12,0,7,12,19
118,"Rochester Row, Westminster",3457,51.49582705,-0.13547809,TRUE,FALSE,1.28E+12,0,11,1,13
128,"Emperor's Gate, South Kensington",1116,51.49536226,-0.185296516,TRUE,FALSE,1.28E+12,0,4,18,22
129,"Golden Square, Soho",3451,51.5118973,-0.137043852,TRUE,FALSE,1.28E+12,0,14,2,18
132,"Bethnal Green Road, Shoreditch",973,51.52364804,-0.074754872,TRUE,FALSE,1.28E+12,0,2,34,38
139,"Lambeth Road, Vauxhall",1078,51.49488108,-0.117974901,TRUE,FALSE,1.28E+12,0,16,2,18
137,"Bourne Street, Belgravia",1119,51.49087475,-0.153319609,TRUE,FALSE,1.28E+12,0,9,6,16
138,"Green Street, Mayfair",3464,51.51227622,-0.157436972,TRUE,FALSE,1.28E+12,0,5,14,19
144,"Kennington Cross, Kennington",1093,51.48894022,-0.111435796,TRUE,FALSE,1.28E+12,0,5,24,29
143,"Pont Street, Knightsbridge",1114,51.4968865,-0.161203828,TRUE,FALSE,1.28E+12,0,21,0,24
145,"Ilchester Place, Kensington",1115,51.50074359,-0.202759212,TRUE,FALSE,1.28E+12,0,11,13,24
147,"Portugal Street, Holborn",3456,51.51494305,-0.11614642,TRUE,FALSE,1.28E+12,0,13,3,16
151,"Chepstow Villas, Notting Hill",1120,51.51213691,-0.201554966,TRUE,FALSE,1.28E+12,0,1,24,26
152,"Hampton Street, Walworth",1118,51.49217002,-0.101536865,TRUE,FALSE,1.28E+12,0,1,20,21
153,"Bayswater Road, Hyde Park",1096,51.51183419,-0.174292825,TRUE,FALSE,1.28E+12,0,2,23,26
160,"Waterloo Place, St. James's",3458,51.50663341,-0.131773845,TRUE,FALSE,1.28E+12,0,14,4,20
159,"Great Marlborough Street, Soho",1125,51.51461995,-0.137841333,TRUE,FALSE,1.28E+12,0,34,0,39
155,"Lexham Gardens, Kensington",1121,51.49586666,-0.191933711,TRUE,FALSE,1.28E+12,0,1,18,19
158,"Trebovir Road, Earl's Court",1113,51.49085368,-0.196170309,TRUE,FALSE,1.28E+12,0,0,16,18
